Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C4, C6, C8",0603,7,0.1uF,
"C12, C9",0603,2,18pF,
"C14, C5",0603,2,10nF,
"C15, C17",0603,2,6.8nF,
C16,0603,1,22nF,
"C2, C3",0603,2,10uF,
C7,0603,1,4.7uF,
"D1, D2",0603,2,LED,
FB1,0603,1,HH-1M1608-121JT,
J1,RJ45_HALO_HFJ11-x2450E-LxxRL_Horizontal,1,RJ45_Halo_HFJ11-x2450E-LxxRL,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
R1,0603,1,12.4k 1%,
"R10, R9",0603,2,330,
"R2, R3",0603,2,1k,
"R4, R5, R6, R7",0603,4,49.9 1%,
R8,0603,1,10R 1%,
RN1,R_Array_Convex_4x0603,1,0,
U1,LQFP-48_7x7mm_P0.5mm,1,W5500,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
