Designator,Mid X,Mid Y,Rotation,Layer
C1,67.5,-41.75,0.0,top
C10,57.0,-47.7,270.0,top
C11,58.6,-47.7,270.0,top
C12,66.325001,-48.925,90.0,top
C13,60.75625,-33.0,180.0,top
C14,57.7,-33.7,270.0,top
C15,48.8,-39.2,180.0,top
C16,48.9,-34.4,0.0,top
C17,48.8,-40.7,180.0,top
C2,67.5,-43.4,0.0,top
C3,52.0,-42.1,180.0,top
C4,52.0,-45.3,180.0,top
C5,63.4,-47.7,270.0,top
C6,61.8,-47.7,270.0,top
C7,60.2,-47.7,270.0,top
C8,52.0,-46.9,180.0,top
C9,74.325,-48.925,270.0,top
D1,67.5,-32.0,270.0,top
D2,69.5,-32.0,270.0,top
FB1,64.25625,-33.0,180.0,top
J1,38.47,-40.7,270.0,top
J2,78.2,-40.709999,180.0,top
R1,52.0,-43.7,180.0,top
R10,32.5,-50.0,180.0,top
R2,67.5,-35.0,90.0,top
R3,69.5,-35.0,90.0,top
R4,52.8,-35.3,270.0,top
R5,56.0,-35.3,90.0,top
R6,51.2,-35.3,270.0,top
R7,54.4,-35.3,90.0,top
R8,48.9,-36.0,0.0,top
R9,32.5,-31.35,180.0,top
RN1,52.0,-39.2,90.0,top
U1,60.0,-40.7,270.0,top
X1,70.325,-48.925,180.0,top
